date,service_id,exception_type
20250308,2025-03-08,1
20250309,2025-03-09,1
20250310,2025-03-10,1
20250311,2025-03-11,1
20250312,2025-03-12,1
20250313,2025-03-13,1
20250314,2025-03-14,1
20250315,2025-03-15,1
20250316,2025-03-16,1
20250317,2025-03-17,1
20250318,2025-03-18,1
20250319,2025-03-19,1
20250320,2025-03-20,1
20250321,2025-03-21,1
20250322,2025-03-22,1
20250323,2025-03-23,1
20250324,2025-03-24,1
20250325,2025-03-25,1
20250326,2025-03-26,1
20250327,2025-03-27,1
20250328,2025-03-28,1
20250329,2025-03-29,1
20250330,2025-03-30,1
20250331,2025-03-31,1
20250401,2025-04-01,1
20250402,2025-04-02,1
20250403,2025-04-03,1
20250404,2025-04-04,1
20250405,2025-04-05,1
20250406,2025-04-06,1
20250407,2025-04-07,1
20250408,2025-04-08,1
