route_id,trip_id,service_id,trip_headsign,trip_short_name,block_id,plk_train_number,carriages
IC,2026-01-03_1001-0,2026-01-03,Białystok,1000 Narew,,1001/0,
IC,2026-01-03_1003,2026-01-03,Białystok,1002 Zamenhof,,1003,
TLK,2026-01-03_1012-3,2026-01-03,Białystok,1012 Bocian,,1012/3,
IC,2026-01-03_1017-6,2026-01-03,Białystok,1016 Żubr,,1017/6,
IC,2026-01-03_1023,2026-01-03,Terespol,1023 Skaryna,,1023,
IC,2026-01-03_1026-7,2026-01-03,Terespol,1026 Podlasie,,1026/7,
IC,2026-01-03_1030-1,2026-01-03,Terespol,1030 Radziwiłł,,1030/1,
IC,2026-01-03_1032-3,2026-01-03,Terespol,1032 Starzyński,,1032/3,
IC,2026-01-03_1037,2026-01-03,Terespol,1037 Niemcewicz,,1037,
IC,2026-01-03_1100-1,2026-01-03,Łódź Fabryczna,1100 Narew,,1100/1,
IC,2026-01-03_1102-3,2026-01-03,Warszawa Centralna,1102 Zamenhof,,1102/3,
TLK,2026-01-03_1112-3,2026-01-03,Warszawa Wschodnia,1112 Bocian,,1112/3,
IC,2026-01-03_1116-7,2026-01-03,Warszawa Wschodnia,1116 Żubr,,1116/7,
IC,2026-01-03_1122,2026-01-03,Warszawa Zachodnia,1122 Skaryna,,1122,
IC,2026-01-03_1126-7,2026-01-03,Warszawa Zachodnia,1126 Podlasie,,1126/7,
IC,2026-01-03_1130-1,2026-01-03,Warszawa Zachodnia,1130 Radziwiłł,,1130/1,
IC,2026-01-03_1134-5,2026-01-03,Warszawa Zachodnia,1134 Starzyński,,1134/5,
IC,2026-01-03_1136,2026-01-03,Warszawa Zachodnia,1136 Niemcewicz,,1136,
IC,2026-01-03_12010-1,2026-01-03,Ягодин,12010 Kyiv Express,,12010/1,
IC,2026-01-03_1212-3,2026-01-03,Lublin Główny,1212 Czechowicz,,1212/3,
IC,2026-01-03_1216-7,2026-01-03,Lublin Główny,1216 Inka,,1216/7,
IC,2026-01-03_13000-1,2026-01-03,Kraków Główny,141 Hańcza,,13000/1,
EIP,2026-01-03_1302-3,2026-01-03,Kraków Główny,1302,,1302/3,
EIP,2026-01-03_1304-5,2026-01-03,Kraków Główny,1304,,1304/5,
TLK,2026-01-03_13102-3,2026-01-03,Kraków Główny,13102 Marszałek Piłsudski,,13102/3,
IC,2026-01-03_1312-3,2026-01-03,Zakopane,1312 Malinowski,,1312/3,
IC,2026-01-03_1320-1,2026-01-03,Kraków Główny,1320 Karłowicz,,1320/1,
IC,2026-01-03_1322-3,2026-01-03,Kraków Główny,1322 Kinga,,1322/3,
IC,2026-01-03_1329-8,2026-01-03,Kraków Główny,1328 Reymont,,1329/8,
IC,2026-01-03_1330-1,2026-01-03,Przemyśl Główny,1330 San,,1330/1,
IC,2026-01-03_1336-7,2026-01-03,Przemyśl Główny,1336 Witos,,1336/7,
IC,2026-01-03_1338-9,2026-01-03,Rzeszów Główny,1338 Wisłok,,1338/9,
IC,2026-01-03_1338-9_C0,2026-01-03,Рава-Руська,1338 Wisłok,2818,1338/9,22/23/24
EIC,2026-01-03_1350-1,2026-01-03,Zakopane,1350 Tatry,,1350/1,
EIC,2026-01-03_1400-1,2026-01-03,Bielsko-Biała Główna,1400,,1400/1,
IC,2026-01-03_14000-1,2026-01-03,Bohumín,116 Silesia,,14000/1,
IC,2026-01-03_14002-3,2026-01-03,Bohumín,103 Polonia,,14002/3,
IC,2026-01-03_14004-5,2026-01-03,Petrovice u Karviné,131 Batory,,14004/5,
IC,2026-01-03_14006-7,2026-01-03,Bohumín,112 Silesia,,14006/7,
IC,2026-01-03_14008-9,2026-01-03,Bohumín,110 Silesia,,14008/9,
IC,2026-01-03_14010-1,2026-01-03,Bohumín,40407 Chopin,,14010/1,
IC,2026-01-03_14012-3,2026-01-03,Bohumín,107 Sobieski,,14012/3,
IC,2026-01-03_1420-1,2026-01-03,Gliwice,1420 Daszyński,,1420/1,
IC,2026-01-03_1422-3,2026-01-03,Bielsko-Biała Główna,1422 Korfanty,,1422/3,
IC,2026-01-03_1424-5,2026-01-03,Katowice,1424 Chemik,,1424/5,
IC,2026-01-03_1428-9,2026-01-03,Żywiec,1428 Pilecki,,1428/9,
IC,2026-01-03_1460-1,2026-01-03,Wisła Uzdrowisko,1460 Beskidy,,1460/1,
EIP,2026-01-03_1500-1,2026-01-03,Gdynia Główna,1500,,1500/1,
EIP,2026-01-03_1502-3,2026-01-03,Gdynia Główna,1502,,1502/3,
TLK,2026-01-03_15111-0_0,2026-01-03,Gdynia Główna,15110 Biebrza,,15111/0,
TLK_BUS,2026-01-03_15111-0_1,2026-01-03,Gdynia Główna,15110 Biebrza,,15111/0,
TLK,2026-01-03_15111-0_2,2026-01-03,Gdynia Główna,15110 Biebrza,,15111/0,
