trip_id,stop_sequence,stop_id,arrival_time,departure_time,official_dist_traveled
0,0,39404,08:24:00,08:24:00,0
0,1,233222,08:26:00,08:27:00,2831
0,2,39792,08:33:00,08:34:00,15266
0,3,39875,08:43:00,08:44:00,34547
0,4,39883,08:48:00,08:49:00,39448
0,5,39008,08:55:00,08:57:00,52637
0,6,39131,09:04:00,09:06:00,67568
0,7,38653,09:20:00,09:29:00,88978
0,8,33605,09:35:00,09:44:00,92932
0,9,33506,09:48:00,09:48:00,96314
1,0,39404,08:24:00,08:24:00,0
1,1,233222,08:26:00,08:27:00,2831
1,2,39792,08:33:00,08:34:00,15266
1,3,39875,08:43:00,08:44:00,34547
1,4,39883,08:48:00,08:49:00,39448
1,5,39008,08:55:00,08:57:00,52637
1,6,39131,09:04:00,09:06:00,67568
1,7,38653,09:20:00,09:29:00,88978
1,8,33605,09:35:00,09:36:00,92932
1,9,33506,09:40:00,09:40:00,96314
2,0,39404,08:24:00,08:24:00,0
2,1,233222,08:26:00,08:27:00,2831
2,2,39792,08:33:00,08:34:00,15266
2,3,39875,08:43:00,08:44:00,34547
2,4,39883,08:48:00,08:49:00,39448
2,5,39008,08:55:00,08:57:00,52637
2,6,39131,09:04:00,09:06:00,67568
2,7,38653,09:20:00,09:29:00,88978
2,8,33605,09:35:00,09:44:00,92932
2,9,33506,09:48:00,09:48:00,96314
3,0,39404,08:24:00,08:24:00,0
3,1,233222,08:26:00,08:27:00,2831
3,2,39792,08:33:00,08:34:00,15266
3,3,39875,08:43:00,08:44:00,34547
3,4,39883,08:48:00,08:49:00,39448
3,5,39008,08:55:00,08:57:00,52637
3,6,39131,09:04:00,09:06:00,67568
3,7,38653,09:20:00,09:29:00,88978
3,8,33605,09:35:00,09:44:00,92932
3,9,33506,09:48:00,09:48:00,96314
4,0,39404,16:04:00,16:04:00,0
4,1,39875,16:20:00,16:21:00,34547
4,2,39008,16:30:00,16:31:00,52637
4,3,38653,16:51:00,16:51:00,88978
5,0,39404,16:04:00,16:04:00,0
5,1,39875,16:20:00,16:21:00,34547
5,2,39008,16:30:00,16:31:00,52637
5,3,38653,16:52:00,16:52:00,88978
6,0,39404,16:04:00,16:04:00,0
6,1,39792,16:11:00,16:12:00,15266
6,2,39875,16:20:00,16:21:00,34547
6,3,39008,16:30:00,16:31:00,52637
6,4,38653,16:52:00,16:52:00,88978
7,0,39404,16:04:00,16:04:00,0
7,1,39875,16:20:00,16:21:00,34547
7,2,39008,16:30:00,16:31:00,52637
7,3,38653,16:51:00,16:51:00,88978
8,0,39404,17:21:00,17:21:00,0
8,1,39875,17:37:00,17:38:00,34547
8,2,39008,17:47:00,17:48:00,52637
8,3,38653,18:08:00,18:09:00,88978
8,4,33647,18:11:00,18:11:00,90036
8,5,33639,18:14:00,18:14:00,91442
8,6,33571,18:17:00,18:18:00,92932
8,7,33498,18:20:00,18:21:00,94139
8,8,33506,18:24:00,18:24:00,96314
9,0,39404,17:20:00,17:20:00,0
9,1,39792,17:27:00,17:27:00,15266
9,2,39875,17:37:00,17:38:00,34547
9,3,39008,17:47:00,17:48:00,52637
9,4,38653,18:08:00,18:09:00,88978
9,5,33647,18:11:00,18:11:00,90036
9,6,33639,18:14:00,18:14:00,91442
9,7,33571,18:17:00,18:18:00,92932
9,8,33498,18:20:00,18:21:00,94139
9,9,33506,18:24:00,18:24:00,96314
10,0,39404,17:21:00,17:21:00,0
10,1,39875,17:37:00,17:38:00,34547
10,2,39008,17:47:00,17:48:00,52637
10,3,38653,18:08:00,18:09:00,88978
10,4,33647,18:11:00,18:11:00,90036
10,5,33639,18:14:00,18:14:00,91442
10,6,33571,18:17:00,18:18:00,92932
10,7,33498,18:20:00,18:21:00,94139
10,8,33506,18:24:00,18:24:00,96314
11,0,39404,19:20:00,19:20:00,0
11,1,39875,19:36:00,19:37:00,34547
11,2,39008,19:46:00,19:48:00,52637
11,3,38653,20:08:00,20:09:00,88978
11,4,33647,20:11:00,20:11:00,90036
11,5,33639,20:14:00,20:14:00,91442
11,6,33571,20:17:00,20:18:00,92932
11,7,33498,20:20:00,20:21:00,94139
11,8,33506,20:24:00,20:24:00,96314
12,0,39404,19:20:00,19:20:00,0
12,1,39792,19:27:00,19:28:00,15266
12,2,39875,19:37:00,19:38:00,34547
12,3,39008,19:47:00,19:48:00,52637
12,4,38653,20:08:00,20:09:00,88978
12,5,33647,20:11:00,20:11:00,90036
12,6,33639,20:14:00,20:14:00,91442
12,7,33571,20:17:00,20:18:00,92932
12,8,33498,20:20:00,20:21:00,94139
12,9,33506,20:24:00,20:24:00,96314
