from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type
34348,34348,773_0,773_1,1
264970,264970,862_0,862_1,1
264970,264970,867_0,867_1,1
36814,36814,923_0,923_1,1
36814,36814,925_0,925_1,1
36814,36814,926_0,926_1,1
36814,36814,928_0,928_1,1
36814,36814,930_0,930_1,1
36814,36814,932_0,932_1,1
36814,36814,933_0,933_1,1
32201,32201,1081_0,1081_1,1
32201,32201,1084_0,1084_1,1
32201,32201,1088_0,1088_1,1
32201,32201,1090_0,1090_1,1
32201,32201,1096_0,1096_1,1
32201,32201,1100_0,1100_1,1
32201,32201,1101_0,1101_1,1
38653,38653,1663_0,1663_1,1
38661,38661,1663_1,1663_2,1
38653,38653,1664_0,1664_1,1
38661,38661,1664_1,1664_2,1
38653,38653,1665_0,1665_1,1
38729,38729,1665_1,1665_2,1
38661,38661,1666_0,1666_1,1
38729,38729,1666_1,1666_2,1
38653,38653,1667_0,1667_1,1
38729,38729,1667_1,1667_2,1
39404,39404,1815_0,1815_1,1
40360,40360,1826_0,1826_1,1
264970,264970,2041_0,2041_1,1
264970,264970,2045_0,2045_1,1
36814,36814,2510_0,2510_1,1
36814,36814,2512_0,2512_1,1
36814,36814,2514_0,2514_1,1
36814,36814,2516_0,2516_1,1
36814,36814,2519_0,2519_1,1
36814,36814,2520_0,2520_1,1
36814,36814,2523_0,2523_1,1
36814,36814,2524_0,2524_1,1
36814,36814,2666_0,2666_1,1
36814,36814,2667_0,2667_1,1
36814,36814,2670_0,2670_1,1
36814,36814,2671_0,2671_1,1
36814,36814,2674_0,2674_1,1
36814,36814,2675_0,2675_1,1
36814,36814,2678_0,2678_1,1
36814,36814,2679_0,2679_1,1
32201,32201,2715_0,2715_1,1
32201,32201,2717_0,2717_1,1
32201,32201,2723_0,2723_1,1
32201,32201,2725_0,2725_1,1
32201,32201,2729_0,2729_1,1
32201,32201,2732_0,2732_1,1
34348,34348,3043_0,3043_1,1
39404,39404,3391_0,3391_1,1
36814,36814,3934_0,3934_1,1
36814,36814,3935_0,3935_1,1
36814,36814,3938_0,3938_1,1
36814,36814,3939_0,3939_1,1
36814,36814,3942_0,3942_1,1
36814,36814,3943_0,3943_1,1
36814,36814,3946_0,3946_1,1
36814,36814,3947_0,3947_1,1
