service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,1,1,20241215,20250308
2,1,1,1,1,1,1,1,20250309,20250614
3,1,1,1,1,1,1,1,20250622,20250630
4,1,1,1,1,1,1,1,20250701,20250830
5,1,1,1,1,1,1,1,20250831,20251025
6,1,1,1,1,1,1,1,20251026,20251213
7,1,1,1,1,1,1,1,20250615,20250630
8,1,1,1,1,1,0,0,20241216,20250307
9,1,1,1,1,1,0,0,20250310,20250613
10,1,1,1,1,1,0,0,20250616,20250829
11,1,1,1,1,1,0,0,20250901,20251024
12,1,1,1,1,1,0,0,20251027,20251212
13,1,1,1,1,1,1,1,20250727,20250727
14,1,1,1,1,1,1,1,20250817,20250817
15,1,1,1,1,1,1,1,20250726,20250726
16,1,1,1,1,1,0,0,20250616,20250711
17,1,1,1,1,1,1,1,20250725,20250725
18,1,1,1,1,1,1,1,20250728,20250728
19,1,1,1,1,1,1,1,20250926,20250928
20,1,1,1,1,1,1,1,20241216,20241216
21,1,1,1,1,1,0,0,20241217,20250307
22,1,1,1,1,1,1,1,20250207,20250207
23,1,1,1,1,1,1,1,20251001,20251001
24,1,1,1,1,1,0,0,20251002,20251024
25,1,1,1,1,1,1,1,20251010,20251010
26,1,1,1,1,1,0,0,20250310,20250613
27,1,0,0,0,1,0,0,20250616,20250811
28,0,1,1,1,0,0,0,20250617,20250814
29,1,1,1,1,1,1,1,20250818,20250822
30,1,1,1,1,1,1,1,20250825,20250829
31,1,1,1,1,1,0,0,20250901,20250922
32,1,1,1,1,1,0,0,20250923,20251014
33,1,1,1,1,1,0,0,20251015,20251024
34,1,1,1,1,1,1,1,20250926,20250926
35,1,1,1,1,1,1,1,20250927,20250927
36,1,1,1,1,1,0,0,20241216,20250103
37,1,1,1,1,1,0,0,20250107,20250307
38,1,1,1,1,1,1,1,20250707,20250711
39,1,1,1,1,1,0,0,20250901,20251024
40,1,1,1,1,1,1,1,20251002,20251002
41,1,1,1,1,1,0,0,20241216,20250110
42,1,1,1,1,1,0,0,20250113,20250307
43,1,1,1,1,1,0,0,20250616,20250627
44,1,1,1,1,1,1,1,20250630,20250704
45,1,1,1,1,1,0,0,20250707,20250801
46,1,1,1,1,1,1,1,20250804,20250808
47,1,1,1,1,1,0,0,20250811,20250829
48,1,1,1,1,1,1,1,20241215,20250112
49,1,1,1,1,1,1,1,20250412,20250413
50,1,1,1,1,1,1,1,20250113,20250308
51,1,1,1,1,1,1,1,20250309,20250614
52,1,1,1,1,1,1,1,20250312,20250312
53,1,1,1,1,1,1,1,20250615,20250629
54,1,1,1,1,1,1,1,20250630,20250731
55,1,1,1,1,1,1,1,20250801,20250830
56,1,1,1,1,1,1,1,20250831,20251025
57,1,1,1,1,1,1,1,20250913,20250914
58,1,1,1,1,1,0,0,20250707,20250829
59,1,1,1,1,1,1,1,20250309,20250614
60,1,1,1,1,1,1,1,20250705,20250803
61,1,1,1,1,1,1,1,20250809,20250830
62,1,1,1,1,1,0,0,20250707,20250731
63,1,1,1,1,1,0,0,20250801,20250829
64,1,1,1,1,1,1,1,20250615,20250830
65,1,1,1,1,1,0,0,20250630,20250731
66,1,1,1,1,1,1,1,20250801,20250830
67,1,1,1,1,1,1,1,20250309,20250406
68,1,1,1,1,1,1,1,20250407,20250614
69,1,1,1,1,1,1,1,20250411,20250413
70,1,1,1,1,1,1,1,20250705,20250731
71,0,0,0,0,0,1,1,20250309,20250406
72,0,0,0,0,0,1,1,20250419,20250614
73,1,1,1,1,1,0,0,20250310,20250613
74,1,1,1,1,1,1,1,20250411,20250411
75,1,1,1,1,1,0,0,20250616,20250829
76,1,1,1,1,1,1,1,20250704,20250704
77,1,1,1,1,1,0,0,20250901,20251024
78,0,0,0,0,1,0,0,20250905,20250912
79,0,0,0,0,0,1,1,20250419,20250614
80,1,1,1,1,1,1,1,20250510,20250510
81,0,0,0,0,0,1,1,20250615,20250830
82,1,1,1,1,1,1,1,20250712,20250712
83,1,1,1,1,1,1,1,20250831,20250831
84,1,1,1,1,1,1,1,20250906,20250907
85,0,0,0,0,0,1,1,20250920,20251025
86,0,0,0,0,0,1,0,20251004,20251011
87,0,0,0,0,0,1,1,20251026,20251213
88,1,1,1,1,1,0,0,20250616,20250731
89,0,0,0,0,1,0,0,20250718,20250801
90,1,1,1,1,1,1,1,20250804,20250805
91,1,1,1,1,1,1,1,20250806,20250807
