service_id,date,exception_type
8,20241225,2
8,20241226,2
8,20250101,2
8,20250106,2
9,20250421,2
9,20250501,2
10,20250619,2
10,20250815,2
12,20251111,2
16,20250619,2
21,20241225,2
21,20241226,2
21,20250101,2
21,20250106,2
21,20250207,2
24,20251010,2
26,20250421,2
26,20250501,2
26,20250502,2
28,20250619,2
36,20241225,2
36,20241226,2
36,20250101,2
39,20251002,2
41,20241225,2
41,20241226,2
41,20250101,2
41,20250106,2
43,20250619,2
47,20250815,2
51,20250312,2
51,20250412,2
51,20250413,2
56,20250913,2
56,20250914,2
58,20250815,2
59,20250412,2
59,20250413,2
63,20250815,2
64,20250630,2
64,20250701,2
64,20250702,2
64,20250703,2
64,20250704,2
66,20250804,2
66,20250805,2
66,20250806,2
66,20250807,2
66,20250808,2
68,20250411,2
68,20250412,2
68,20250413,2
72,20250421,1
72,20250501,1
73,20250411,2
73,20250421,2
73,20250501,2
75,20250619,2
75,20250704,2
75,20250815,2
77,20250905,2
77,20250912,2
79,20250421,1
79,20250501,1
79,20250510,2
81,20250619,1
81,20250815,1
81,20250712,2
85,20251004,2
85,20251011,2
87,20251111,1
88,20250619,2
88,20250718,2
88,20250725,2
93,20250814,2
96,20250411,2
96,20250412,2
96,20250413,2
97,20250804,2
97,20250805,2
97,20250806,2
97,20250807,2
97,20250808,2
98,20250411,2
98,20250412,2
98,20250413,2
100,20250629,2
100,20250630,2
100,20250701,2
100,20250702,2
100,20250703,2
100,20250725,2
100,20250726,2
108,20250211,2
110,20250817,2
112,20250501,2
113,20250321,1
113,20250418,1
116,20250509,1
116,20250516,1
118,20241221,2
118,20241225,2
118,20241228,2
118,20250101,2
118,20250104,2
118,20250111,2
119,20250108,2
120,20250330,2
120,20250412,2
120,20250413,2
122,20250107,1
122,20250108,1
122,20241219,2
122,20241220,2
122,20250106,2
124,20250106,1
124,20250107,2
124,20250108,2
125,20250107,1
125,20241218,2
125,20241219,2
125,20241220,2
126,20241223,2
126,20241225,2
126,20241226,2
126,20241227,2
126,20241230,2
128,20250312,2
128,20250404,2
128,20250421,2
128,20250429,2
128,20250501,2
132,20250630,2
132,20250701,2
132,20250702,2
132,20250703,2
132,20250704,2
132,20250817,2
133,20241216,2
133,20241217,2
133,20241218,2
133,20241219,2
133,20250107,2
133,20250108,2
133,20250109,2
135,20250110,2
135,20250111,2
135,20250112,2
137,20241225,1
137,20241226,1
137,20250101,1
137,20250106,1
138,20250412,2
138,20250413,2
140,20250707,2
140,20250708,2
140,20250709,2
140,20250710,2
140,20250711,2
141,20250619,2
142,20241223,2
142,20241227,2
144,20250222,2
148,20250618,2
148,20250619,2
148,20250620,2
149,20250618,1
150,20250814,1
151,20250814,2
152,20241225,2
152,20241226,2
152,20250101,2
152,20250106,2
152,20250107,2
152,20250108,2
152,20250109,2
153,20250110,2
154,20250411,2
154,20250421,2
154,20250501,2
156,20250909,2
158,20250329,2
158,20250403,2
158,20250404,2
158,20250407,2
158,20250410,2
158,20250412,2
158,20250413,2
158,20250512,2
159,20250329,1
159,20250407,1
161,20250831,1
163,20251109,2
165,20251111,2
168,20251205,1
168,20251206,1
168,20251212,1
168,20251213,1
169,20251205,2
169,20251206,2
170,20250619,1
170,20250815,1
171,20251111,2
171,20251205,2
173,20250930,2
175,20251111,2
177,20250421,1
177,20250501,1
178,20250909,2
179,20250421,1
179,20250501,1
180,20250707,2
180,20250708,2
180,20250709,2
180,20250710,2
180,20250711,2
181,20251111,2
181,20251113,2
183,20251026,1
183,20251102,1
183,20251111,2
184,20251111,1
184,20251102,2
185,20250831,1
185,20251018,1
186,20251018,2
187,20251102,2
189,20250619,2
189,20250815,2
189,20250828,2
191,20250906,2
191,20250907,2
191,20250913,2
191,20250914,2
193,20250421,1
193,20250501,1
195,20250831,1
195,20251007,2
197,20250906,2
200,20251026,1
200,20251206,1
200,20251213,1
200,20251111,2
201,20251111,1
201,20251206,2
204,20250831,1
207,20251112,2
212,20251111,2
213,20250619,2
215,20250815,2
216,20251003,2
219,20241225,1
219,20241226,1
219,20250101,1
219,20250106,1
219,20250209,2
221,20250619,1
222,20250815,1
227,20250619,2
228,20241222,2
228,20250118,2
228,20250215,2
232,20250310,2
232,20250318,2
232,20250525,2
239,20250512,2
240,20250707,2
240,20250708,2
240,20250709,2
240,20250710,2
240,20250711,2
241,20241225,1
241,20241226,1
241,20250101,1
241,20250106,1
242,20250421,1
242,20250501,1
242,20250315,2
242,20250601,2
245,20250421,2
245,20250501,2
248,20250324,2
250,20250610,2
254,20250227,2
259,20251111,1
260,20250421,2
260,20250501,2
260,20250508,2
262,20250619,2
262,20250813,2
262,20250815,2
267,20250508,2
268,20250813,2
269,20250908,2
269,20250909,2
269,20250910,2
269,20250911,2
269,20250912,2
269,20250913,2
270,20250815,2
271,20250813,2
271,20250815,2
273,20250508,2
274,20250707,2
274,20250708,2
274,20250709,2
274,20250710,2
274,20250711,2
274,20250813,2
275,20250913,2
283,20250804,2
283,20250805,2
283,20250806,2
283,20250807,2
283,20250808,2
283,20250817,2
286,20250317,2
286,20250404,2
286,20250410,2
286,20250412,2
286,20250413,2
286,20250414,2
286,20250418,2
286,20250420,2
286,20250504,2
286,20250508,2
286,20250513,2
286,20250514,2
286,20250515,2
286,20250516,2
286,20250526,2
286,20250528,2
286,20250529,2
286,20250602,2
286,20250604,2
294,20250604,1
296,20250913,2
296,20250914,2
296,20251009,2
298,20251028,2
298,20251103,2
298,20251104,2
298,20251113,2
301,20250209,2
302,20250311,2
302,20250412,2
302,20250413,2
302,20250504,2
302,20250513,2
302,20250528,2
302,20250601,2
302,20250608,2
304,20250528,1
305,20250622,2
305,20250625,2
305,20250726,2
307,20251003,2
307,20251005,2
307,20251012,2
307,20251019,2
308,20251003,1
315,20250501,2
316,20250501,1
316,20250502,1
316,20250503,1
316,20250531,1
316,20250619,1
316,20250621,1
316,20250815,1
316,20250816,1
317,20241224,1
320,20250501,1
321,20250619,1
323,20251111,1
325,20241223,1
325,20241225,1
325,20241226,1
325,20241230,1
325,20241231,1
325,20250101,1
325,20250102,1
325,20250106,1
326,20250421,1
326,20250430,1
326,20250413,2
330,20250618,1
330,20250814,1
330,20250808,2
331,20250914,2
333,20251110,1
337,20250404,2
337,20250421,2
337,20250501,2
340,20250725,1
340,20250811,2
340,20250812,2
340,20250820,2
340,20250821,2
340,20250826,2
341,20250811,1
341,20250812,1
342,20250820,1
344,20250421,2
344,20250501,2
345,20250619,2
345,20250624,2
345,20250721,2
345,20250724,2
345,20250728,2
349,20241226,1
349,20241227,1
349,20250106,1
352,20250718,2
352,20250815,2
355,20250421,1
355,20250501,1
355,20250502,1
357,20250619,1
359,20250815,1
362,20251206,1
362,20251213,1
363,20251110,1
363,20251111,1
364,20250109,2
364,20250112,2
364,20250115,2
364,20250210,2
364,20250211,2
364,20250301,2
364,20250302,2
364,20250303,2
364,20250306,2
370,20250416,2
370,20250427,2
370,20250504,2
370,20250506,2
370,20250517,2
370,20250519,2
370,20250522,2
370,20250603,2
372,20250506,1
377,20251111,2
377,20251128,2
377,20251205,2
380,20251111,1
384,20241229,2
386,20250617,2
386,20250618,2
386,20250619,2
386,20250625,2
391,20250401,2
391,20250411,2
391,20250421,2
391,20250501,2
391,20250505,2
391,20250513,2
391,20250515,2
391,20250521,2
391,20250523,2
391,20250530,2
391,20250602,2
393,20250513,1
393,20250515,1
393,20250521,1
393,20250602,1
393,20250516,2
398,20251111,1
399,20251111,1
400,20250619,1
400,20250815,1
401,20251111,1
402,20241225,1
402,20241226,1
402,20250101,1
402,20250106,1
402,20250421,1
402,20250501,1
403,20250409,2
403,20250516,2
406,20250707,2
406,20250708,2
406,20250709,2
406,20250710,2
406,20250711,2
407,20250904,2
407,20250915,2
407,20250918,2
407,20250930,2
407,20251002,2
407,20251008,2
407,20251015,2
407,20251016,2
407,20251020,2
410,20250930,1
410,20251020,1
410,20251001,2
410,20251009,2
411,20251104,2
411,20251105,2
411,20251111,2
411,20251114,2
411,20251117,2
414,20250920,2
416,20250525,2
417,20250815,1
419,20250218,2
421,20250909,2
421,20250910,2
421,20250911,2
421,20250912,2
421,20250913,2
423,20250217,2
425,20241225,1
425,20241226,1
425,20250101,1
425,20250106,1
425,20250104,2
432,20250908,2
432,20250909,2
432,20250910,2
432,20250911,2
432,20250912,2
435,20250908,2
435,20250909,2
435,20250910,2
435,20250911,2
435,20250912,2
435,20250913,2
436,20250221,2
436,20250307,2
439,20250724,2
440,20251009,2
442,20251028,2
442,20251103,2
442,20251104,2
442,20251113,2
443,20250311,2
443,20250411,2
443,20250412,2
443,20250413,2
443,20250504,2
443,20250513,2
443,20250528,2
443,20250601,2
443,20250608,2
444,20250622,2
444,20250625,2
444,20250804,2
444,20250805,2
444,20250806,2
444,20250807,2
444,20250808,2
445,20251005,2
445,20251012,2
445,20251019,2
447,20251102,2
447,20251104,2
447,20251109,2
447,20251111,2
447,20251113,2
447,20251115,2
447,20251116,2
448,20251113,1
448,20251115,1
449,20241223,1
449,20241224,1
449,20241225,1
449,20241226,1
449,20241230,1
449,20241231,1
449,20250101,1
449,20250102,1
449,20250106,1
449,20241220,2
452,20250430,1
453,20250421,1
453,20250501,1
457,20250618,1
457,20250619,1
457,20250620,1
457,20250627,1
457,20250711,1
457,20250718,1
457,20250815,1
461,20251110,1
461,20251111,1
462,20251111,1
466,20250619,1
469,20250815,1
473,20250210,2
475,20250314,2
475,20250512,2
475,20250516,2
475,20250612,2
479,20250926,2
479,20251023,2
481,20251112,2
482,20250707,2
482,20250708,2
482,20250731,2
482,20250806,2
482,20250816,2
482,20250818,2
482,20250822,2
482,20250824,2
482,20250826,2
485,20250816,1
485,20250818,1
485,20250824,1
485,20250826,1
486,20250619,2
486,20250724,2
486,20250815,2
487,20251026,1
487,20251103,2
487,20251104,2
487,20251105,2
489,20251111,1
490,20251122,1
490,20251111,2
492,20251128,2
492,20251129,2
492,20251130,2
494,20250305,2
496,20250707,2
496,20250708,2
496,20250709,2
496,20250710,2
496,20250711,2
496,20250812,2
496,20250828,2
498,20250903,2
498,20251008,2
501,20250619,2
501,20250707,2
501,20250708,2
501,20250731,2
501,20250815,2
501,20250818,2
501,20250822,2
501,20250826,2
503,20250818,1
503,20250826,1
504,20241225,2
504,20241226,2
504,20250101,2
504,20250106,2
504,20250113,2
504,20250204,2
504,20250227,2
507,20250408,2
507,20250421,2
507,20250501,2
508,20250925,2
508,20251022,2
511,20251111,2
513,20251111,2
514,20250815,2
518,20250405,2
520,20250620,1
520,20250627,1
520,20250704,1
520,20250711,1
520,20250815,1
520,20250814,2
521,20250814,1
529,20251002,2
532,20251102,2
532,20251109,2
532,20251111,2
532,20251116,2
533,20251111,1
534,20250625,2
536,20250716,2
536,20250720,2
536,20250724,2
536,20250730,2
537,20250720,1
537,20250724,1
537,20250723,2
551,20250402,2
551,20250428,2
551,20250505,2
551,20250507,2
551,20250518,2
551,20250520,2
551,20250523,2
551,20250604,2
552,20250507,1
556,20250711,2
556,20250717,2
558,20250812,2
560,20250826,2
562,20250923,2
562,20251007,2
568,20251122,2
568,20251123,2
568,20251124,2
568,20251125,2
568,20251126,2
568,20251127,2
569,20251128,2
569,20251129,2
569,20251130,2
570,20250531,2
573,20250731,2
574,20250819,1
574,20250816,2
574,20250822,2
574,20250824,2
575,20250816,1
575,20250824,1
575,20250826,1
576,20251111,2
579,20250113,2
579,20250204,2
579,20250227,2
580,20250703,2
580,20250803,2
580,20250810,2
580,20250823,2
584,20251026,1
584,20251122,1
584,20251123,1
584,20251129,1
584,20251130,1
584,20251103,2
584,20251104,2
584,20251105,2
584,20251111,2
585,20251103,1
585,20251105,1
587,20241225,2
587,20241226,2
587,20250101,2
587,20250106,2
587,20250305,2
588,20250619,2
588,20250709,2
588,20250729,2
588,20250806,2
588,20250812,2
588,20250815,2
588,20250828,2
592,20251111,2
592,20251124,2
592,20251125,2
592,20251126,2
592,20251127,2
595,20250310,2
596,20250707,2
596,20250708,2
596,20250709,2
596,20250710,2
596,20250711,2
596,20250731,2
596,20250818,2
596,20250822,2
596,20250826,2
597,20250821,2
605,20251008,2
613,20251107,2
613,20251110,2
613,20251111,2
613,20251114,2
613,20251117,2
613,20251121,2
616,20241225,2
616,20241226,2
616,20250101,2
616,20250106,2
616,20250107,2
616,20250214,2
616,20250218,2
619,20241225,2
619,20241226,2
619,20250101,2
619,20250106,2
619,20250421,2
619,20250501,2
620,20251111,2
622,20250619,2
622,20250815,2
626,20250402,2
626,20250403,2
626,20250421,2
626,20250501,2
626,20250502,2
631,20250113,2
631,20250214,2
633,20250105,2
633,20250305,2
636,20250907,1
637,20250913,2
637,20250914,2
637,20250915,2
637,20250929,2
637,20251001,2
637,20251011,2
637,20251017,2
637,20251021,2
642,20251005,2
644,20250616,1
644,20250620,1
644,20250626,1
644,20250701,1
644,20250625,2
646,20250626,2
646,20250701,2
646,20250725,2
646,20250728,2
646,20250807,2
646,20250808,2
646,20250811,2
648,20250812,2
648,20250814,2
648,20250815,2
650,20250919,2
650,20250925,2
651,20250919,1
651,20250925,1
651,20251006,1
651,20251007,1
651,20251008,1
655,20250910,2
655,20250929,2
655,20251016,2
658,20250906,2
659,20250909,2
659,20250911,2
659,20250913,2
659,20250914,2
659,20250915,2
659,20250918,2
659,20250919,2
660,20250909,1
660,20250919,1
661,20250905,2
661,20250912,2
661,20251001,2
662,20250918,2
662,20251011,2
664,20250913,2
664,20250914,2
664,20251004,2
666,20250906,2
666,20250909,2
666,20250911,2
666,20250913,2
666,20250914,2
666,20250915,2
666,20250918,2
666,20250919,2
666,20250920,2
667,20250913,2
667,20250914,2
667,20250925,2
667,20251018,2
668,20250911,2
668,20250930,2
670,20251006,1
670,20251007,1
670,20251008,1
670,20251009,1
670,20251010,1
670,20251014,1
672,20250910,2
672,20250929,2
672,20251010,2
672,20251016,2
672,20251020,2
673,20251010,1
