route_id,route_short_name,route_long_name,route_type,route_color,route_text_color
1700001_1700007,LKA,"Rokiciny Dworzec PKP - Będków Kościół",3,FFD500,000000
1700001_1700004,LKA,"Rokiciny Dworzec PKP - Łaznów OSP ŁA 7",3,FFD500,000000
1700007_1700001,LKA,"Będków Kościół - Rokiciny Dworzec PKP",3,FFD500,000000
1700004_1700001,LKA,"Łaznów OSP ŁA 7 - Rokiciny Dworzec PKP",3,FFD500,000000
46458_47001,LKA,"Łódź Fabryczna - Skierniewice",2,FFD500,000000
46581_46409,LKA,"Pabianice - Łódź Widzew",2,FFD500,000000
46649_47001,LKA,"Łask - Skierniewice",2,FFD500,000000
46649_46409,LKA,"Łask - Łódź Widzew",2,FFD500,000000
46581_47605,LKA,"Pabianice - Tomaszów Mazowiecki",2,FFD500,000000
46409_19489,LKA,"Łódź Widzew - Sieradz",2,FFD500,000000
46706_32904,LKA,"Łódź Kaliska - Łowicz Główny",2,FFD500,000000
46581_47886,LKA,"Pabianice - Radomsko",2,FFD500,000000
46409_46581,LKA,"Łódź Widzew - Pabianice",2,FFD500,000000
46581_46805,LKA,"Pabianice - Zgierz",2,FFD500,000000
46409_46649,LKA,"Łódź Widzew - Łask",2,FFD500,000000
46805_46581,LKA,"Zgierz - Pabianice",2,FFD500,000000
47886_46581,LKA,"Radomsko - Pabianice",2,FFD500,000000
32904_46706,LKA,"Łowicz Główny - Łódź Kaliska",2,FFD500,000000
19489_46409,LKA,"Sieradz - Łódź Widzew",2,FFD500,000000
47605_46458,LKA,"Tomaszów Mazowiecki - Łódź Fabryczna",2,FFD500,000000
47605_46581,LKA,"Tomaszów Mazowiecki - Pabianice",2,FFD500,000000
46458_47605,LKA,"Łódź Fabryczna - Tomaszów Mazowiecki",2,FFD500,000000
46409_46805,LKA,"Łódź Widzew - Zgierz",2,FFD500,000000
32201_47001,LKA,"Kutno - Skierniewice",2,FFD500,000000
2100001_2100020,LKA,"Kutno - przy stacji PKP (ul. 3 Maja) - Skierniewice - przy stacji PKP (ul. Dworcowa)",2,FFD500,000000
19430_46409,LKA,"Zduńska Wola - Łódź Widzew",2,FFD500,000000
47001_32904,LKA,"Skierniewice - Łowicz Główny",2,FFD500,000000
2100020_2100008,LKA,"Skierniewice - przy stacji PKP (ul. Dworcowa) - Łowicz Główny - przy stacji PKP (ul. Dworcowa)",2,FFD500,000000
47258_46458,LKA,"Koluszki - Łódź Fabryczna",2,FFD500,000000
46805_46409,LKA,"Zgierz - Łódź Widzew",2,FFD500,000000
32904_47001,LKA,"Łowicz Główny - Skierniewice",2,FFD500,000000
2100008_2100020,LKA,"Łowicz Główny - przy stacji PKP (ul. Dworcowa) - Skierniewice - przy stacji PKP (ul. Dworcowa)",2,FFD500,000000
46458_32904,LKA,"Łódź Fabryczna - Łowicz Główny",2,FFD500,000000
47001_32201,LKA,"Skierniewice - Kutno",2,FFD500,000000
2100020_2100001,LKA,"Skierniewice - przy stacji PKP (ul. Dworcowa) - Kutno - przy stacji PKP (ul. 3 Maja)",2,FFD500,000000
2300008_2400004,LKA,"Głowno przy stacji PKP (ul. Kolejowa 2) - Łódź Służbowa -dw. Łódź Widzew",2,FFD500,000000
46862_46409,LKA,"Głowno - Łódź Widzew",2,FFD500,000000
47548_47258,LKA,"Wykno - Koluszki",2,FFD500,000000
2200022_2200001,LKA,"Wykno - przy przejeździe kolejowym - Koluszki - przystanek autobusowy ul. 3-go Maja",2,FFD500,000000
32201_32904,LKA,"Kutno - Łowicz Główny",2,FFD500,000000
2100001_2100008,LKA,"Kutno - przy stacji PKP (ul. 3 Maja) - Łowicz Główny - przy stacji PKP (ul. Dworcowa)",2,FFD500,000000
47258_47548,LKA,"Koluszki - Wykno",2,FFD500,000000
2200001_2200022,LKA,"Koluszki - przystanek autobusowy ul. 3-go Maja - Wykno - przy przejeździe kolejowym",2,FFD500,000000
47001_46649,LKA,"Skierniewice - Łask",2,FFD500,000000
46409_19430,LKA,"Łódź Widzew - Zduńska Wola",2,FFD500,000000
2700001_2700005,LKA,"Zduńska Wola - przy stacji PKP (Plac Żelazny) - Sieradz - przy stacji PKP (ul. Kolejowa)",2,FFD500,000000
46706_19489,LKA,"Łódź Kaliska - Sieradz",2,FFD500,000000
46458_19489,LKA,"Łódź Fabryczna - Sieradz",2,FFD500,000000
46805_46573,LKA,"Zgierz - Łódź Lublinek",2,FFD500,000000
19489_46706,LKA,"Sieradz - Łódź Kaliska",2,FFD500,000000
2700005_2700001,LKA,"Sieradz - przy stacji PKP (ul. Kolejowa) - Zduńska Wola - przy stacji PKP (Plac Żelazny)",2,FFD500,000000
19489_46458,LKA,"Sieradz - Łódź Fabryczna",2,FFD500,000000
19489_32201,LKA,"Sieradz - Kutno",2,FFD500,000000
47001_46458,LKA,"Skierniewice - Łódź Fabryczna",2,FFD500,000000
1200001_1200023,LKA,"Wola Rakowa Główna - Bedoń Kościół",3,FFD500,000000
1200023_1200001,LKA,"Bedoń Kościół - Wola Rakowa Główna",3,FFD500,000000
46458_48827,LKA,"Łódź Fabryczna - Drzewica",2,FFD500,000000
46458_48355,LKA,"Łódź Fabryczna - Radom Główny",2,FFD500,000000
2900001_2900003,LKA,"Wolanów - przy stacji PKP - Radom Główny - przystanek MZKDiK Dw. Główny/Poczta 02",2,FFD500,000000
2200001_2200012,LKA,"Koluszki - przystanek autobusowy ul. 3-go Maja - Drzewica - przy stacji PKP",2,FFD500,000000
47258_48827,LKA,"Koluszki - Drzewica",2,FFD500,000000
46458_48009,LKA,"Łódź Fabryczna - Skarżysko-Kamienna",2,FFD500,000000
2800001_2800027,LKA,"Tomaszów Mazowiecki - przy stacji PKP ul. Dworcowa - Skarżysko-Kamienna - przystanek autobusowy (zatoka autobusowa przy stacji PKP, Aleja Niepodległości)",2,FFD500,000000
46458_178685,LKA,"Łódź Fabryczna - Spała",2,FFD500,000000
46458_49700,LKA,"Łódź Fabryczna - Opoczno",2,FFD500,000000
2800001_2800007,LKA,"Tomaszów Mazowiecki - przy stacji PKP ul. Dworcowa - Opoczno - przy stacji PKP",2,FFD500,000000
46458_49502,LKA,"Łódź Fabryczna - Końskie",2,FFD500,000000
2800001_2800017,LKA,"Tomaszów Mazowiecki - przy stacji PKP ul. Dworcowa - Końskie - przy stacji PKP",2,FFD500,000000
46458_63552,LKA,"Łódź Fabryczna - Kielce Główne",2,FFD500,000000
1600044_1600042,LKA,"Leźnica Wielka (Osiedle) - Ozorków Kolejowa  Dw. PKP Ozorków",3,FFD500,000000
1600042_1600044,LKA,"Ozorków Kolejowa  Dw. PKP Ozorków - Leźnica Wielka (Osiedle)",3,FFD500,000000
1600057_1600042,LKA,"Dalików Kościół - Ozorków Kolejowa  Dw. PKP Ozorków",3,FFD500,000000
1600042_1600057,LKA,"Ozorków Kolejowa  Dw. PKP Ozorków - Dalików Kościół",3,FFD500,000000
1100028_1100001,LKA,"Zelów Piotrkowska ORLEN kier. Łask - Łask ul. Kolejowa (dworzec PKP)",3,FFD500,000000
1100001_1100091,LKA,"Łask ul. Kolejowa (dworzec PKP) - Szczerców Pl.Św.Floriana",3,FFD500,000000
1100001_1100027,LKA,"Łask ul. Kolejowa (dworzec PKP) - Zelów Piotrkowska ORLEN kier. Szczerców",3,FFD500,000000
1100091_1100001,LKA,"Szczerców Pl.Św.Floriana - Łask ul. Kolejowa (dworzec PKP)",3,FFD500,000000
46458_62653,LKA,"Łódź Fabryczna - Częstochowa",2,FFD500,000000
1300001_1300016,LKA,"Brzeziny Głowackiego - Andrespol Centrum Handlowe",3,FFD500,000000
1300001_1300040,LKA,"Brzeziny Głowackiego - Wola Rakowa Szkoła",3,FFD500,000000
1300016_1300001,LKA,"Andrespol Centrum Handlowe - Brzeziny Głowackiego",3,FFD500,000000
1300040_1300001,LKA,"Wola Rakowa Szkoła - Brzeziny Głowackiego",3,FFD500,000000
1500034_1500001,LKA,"Będzelin OSP - Budziszewice Kościół",3,FFD500,000000
1500001_1500034,LKA,"Budziszewice Kościół - Będzelin OSP",3,FFD500,000000
1110449_1110451,LKA,"Rogów Osobowy Wąskotorowy - Jeżów",2,FFD500,000000
46458_30601,LKA,"Łódź Fabryczna - Poznań Główny",2,FFD500,000000
1110451_1110449,LKA,"Jeżów - Rogów Osobowy Wąskotorowy",2,FFD500,000000
1800001_1800015,LKA,"Rawa Maz. Dworzec Autobusowy - Rogów Dworzec PKP",3,FFD500,000000
1800015_1800001,LKA,"Rogów Dworzec PKP - Rawa Maz. Dworzec Autobusowy",3,FFD500,000000
1900001_1900013,LKA,"Działoszyn Plac Wolności - Biała PKP",3,FFD500,000000
1900001_1900032,LKA,"Działoszyn Plac Wolności - Rząśnia Rondo",3,FFD500,000000
1900013_1900001,LKA,"Biała PKP - Działoszyn Plac Wolności",3,FFD500,000000
1900032_1900001,LKA,"Rząśnia Rondo - Działoszyn Plac Wolności",3,FFD500,000000
46458_38653,LKA,"Łódź Fabryczna - Warszawa Wschodnia",2,FFD500,000000
46805_46649,LKA,"Zgierz - Łask",2,FFD500,000000
47886_47704,LKA,"Radomsko - Piotrków Trybunalski",2,FFD500,000000
46573_46805,LKA,"Łódź Lublinek - Zgierz",2,FFD500,000000
46847_46862,LKA,"Stryków - Głowno",2,FFD500,000000
2300021_2300023,LKA,"Stryków przy stacji PKP (ul. Batorego) - Głowno przy stacji PKP (ul. Kolejowa 2)",2,FFD500,000000
46458_47258,LKA,"Łódź Fabryczna - Koluszki",2,FFD500,000000
47605_47258,LKA,"Tomaszów Mazowiecki - Koluszki",2,FFD500,000000
2200006_2200001,LKA,"Tomaszów Mazowiecki - przy stacji PKP ul. Dworcowa - Koluszki - przystanek autobusowy ul. 3-go Maja",2,FFD500,000000
2400004_2300021,LKA,"Łódź Służbowa -dw. Łódź Widzew - Stryków przy stacji PKP (ul. Batorego)",2,FFD500,000000
46409_46847,LKA,"Łódź Widzew - Stryków",2,FFD500,000000
46458_47886,LKA,"Łódź Fabryczna - Radomsko",2,FFD500,000000
46409_46813,LKA,"Łódź Widzew - Zgierz Płn",2,FFD500,000000
46458_33605,LKA,"Łódź Fabryczna - Warszawa Centralna",2,FFD500,000000
46458_33472,LKA,"Łódź Fabryczna - Warszawa Główna",2,FFD500,000000
11000001_11000015,LKA,"Łaznów OSP kier. Gałkówek Dworzec PKP - Gałków Mały Dworzec PKP",3,FFD500,000000
11000001_11000035,LKA,"Łaznów OSP kier. Gałkówek Dworzec PKP - Gałkówek Dworzec PKP",3,FFD500,000000
11000015_11000030,LKA,"Gałków Mały Dworzec PKP - Łaznów OSP ŁA 10",3,FFD500,000000
11000035_11000030,LKA,"Gałkówek Dworzec PKP - Łaznów OSP ŁA 10",3,FFD500,000000
11100001_1700007,LKA,"Rydzynki Wczasowa/Komarowa - Będków Kościół",3,FFD500,000000
1700007_11100001,LKA,"Będków Kościół - Rydzynki Wczasowa/Komarowa",3,FFD500,000000
48827_46458,LKA,"Drzewica - Łódź Fabryczna",2,FFD500,000000
48355_46458,LKA,"Radom Główny - Łódź Fabryczna",2,FFD500,000000
2900003_2900001,LKA,"Radom Główny - przystanek MZKDiK Dw. Główny/Poczta 02 - Wolanów - przy stacji PKP",2,FFD500,000000
49700_46458,LKA,"Opoczno - Łódź Fabryczna",2,FFD500,000000
2800007_2800001,LKA,"Opoczno - przy stacji PKP - Tomaszów Mazowiecki - przy stacji PKP ul. Dworcowa",2,FFD500,000000
48009_46458,LKA,"Skarżysko-Kamienna - Łódź Fabryczna",2,FFD500,000000
2800027_2800001,LKA,"Skarżysko-Kamienna - przystanek autobusowy (zatoka autobusowa przy stacji PKP, Aleja Niepodległości) - Tomaszów Mazowiecki - przy stacji PKP ul. Dworcowa",2,FFD500,000000
178685_46458,LKA,"Spała - Łódź Fabryczna",2,FFD500,000000
