stop_id,stop_name,stop_lat,stop_lon
19406,"Zduńska Wola Karsznice",51.58888700,18.99472300
19414,"Zduńska Wola Południowa",51.58018700,19.00547200
19430,"Zduńska Wola",51.61142100,18.94704100
19471,"Męcka Wola",51.60908900,18.84654900
19489,Sieradz,51.59778500,18.71462600
19505,"Sieradz Męka",51.61511400,18.77687300
19513,"Sieradz Warta",51.60297700,18.73032300
19547,Kozuby,51.49435824,19.02322975
19554,"Siedlce Łaskie",51.45697735,19.01545714
19562,"Chociw Łaski",51.40546371,18.98272674
19570,"Rusiec Łódzki",51.31608982,18.96909463
19588,Huta,51.27041486,18.96340597
28522,"Poznań Starołęka",52.36634500,16.93440600
28555,"Poznań Dębina",52.37385100,16.90974400
28563,"Poznań Krzesiny",52.34164300,16.97551600
30205,"Środa Wielkopolska",52.21806000,17.27535000
30601,"Poznań Główny",52.40292000,16.91274000
32201,Kutno,52.22713900,19.34818000
32433,Żychlin,52.21321100,19.61755000
32441,Sklęczki,52.22560400,19.40709400
32458,"Złotniki Kutnowskie",52.22529900,19.49099900
32466,Zosinów,52.18568100,19.71651300
32474,Jackowice,52.15698500,19.79461900
32482,"Niedźwiada Łowicka",52.14029700,19.88409800
32516,Witonia,52.15688700,19.27663100
32524,Łęczyca,52.04924800,19.19320500
32532,Sierpów,52.02469200,19.21811600
32540,Ozorków,51.97249000,19.26595600
32557,Chociszew,51.92406200,19.26710400
32581,Gawrony,52.11223400,19.21951700
32904,"Łowicz Główny",52.10582400,19.95422700
33019,Bobrowniki,52.05870900,20.01032200
33027,Bełchów,52.02598000,20.03344400
33035,Mokra,51.97870000,20.09970400
33043,"Sierakowice Skierniewickie",51.99875600,20.06151700
33050,"Łowicz Przedmieście",52.09304000,19.94681600
33506,"Warszawa Zachodnia",52.22020800,20.96514500
33605,"Warszawa Centralna",52.22869700,21.00272800
36103,"Warszawa Gdańska",52.25913500,20.99247600
38653,"Warszawa Wschodnia",52.25137300,21.05236600
44701,Jarocin,51.96898000,17.49466000
44842,Pleszew,51.89125000,17.78357000
45203,"Nowe Skalmierzyce",51.70889028,17.99822583
45245,Kalisz,51.74281861,18.07125528
45310,Opatówek,51.74341639,18.22724000
45344,Błaszki,51.67369528,18.47115361
45906,"Ostrów Wielkopolski",51.64929667,17.80515667
46409,"Łódź Widzew",51.76317200,19.54331500
46433,"Łódź Niciarniana",51.76668800,19.51022000
46458,"Łódź Fabryczna",51.76955100,19.46796300
