route_id,service_id,trip_id,trip_headsign,trip_short_name
1700001_1700007,1,1520_48,"Będków Kościół",1101
1700001_1700007,2,8344_126,"Będków Kościół",1101
1700007_1700001,1,1523_51,"Rokiciny Dworzec PKP",1102
1700007_1700001,2,8348_130,"Rokiciny Dworzec PKP",1102
1700001_1700007,1,1521_49,"Będków Kościół",1103
1700001_1700007,2,8345_127,"Będków Kościół",1103
1700007_1700001,1,1524_52,"Rokiciny Dworzec PKP",1104
1700007_1700001,2,8349_131,"Rokiciny Dworzec PKP",1104
1700001_1700007,1,1519_47,"Będków Kościół",1105
1700001_1700007,2,8346_128,"Będków Kościół",1105
1700007_1700001,1,1525_53,"Rokiciny Dworzec PKP",1106
1700007_1700001,2,8350_132,"Rokiciny Dworzec PKP",1106
1700001_1700007,1,1522_50,"Będków Kościół",1107
1700001_1700007,2,8347_129,"Będków Kościół",1107
1700007_1700001,1,1526_54,"Rokiciny Dworzec PKP",1108
1700007_1700001,2,8351_133,"Rokiciny Dworzec PKP",1108
46458_47001,3,9550_469,Skierniewice,11101/11100
46458_47001,4,9551_470,Skierniewice,11101/11100
46458_47001,5,8805_420,Skierniewice,11101/11100
47605_46458,3,9303_444,"Łódź Fabryczna",11238
47605_46458,4,9304_445,"Łódź Fabryczna",11238
47605_46458,5,8684_407,"Łódź Fabryczna",11238
46409_46805,6,9791_498,Zgierz,11240
46409_46805,7,8936_438,Zgierz,11240
46409_46805,8,9791_499,Zgierz,11240
47605_47258,5,8776_408,Koluszki,11240
47001_32904,4,8965_440,"Łowicz Główny",11241
2100020_2100008,4,8333_331,"Łowicz Główny - przy stacji PKP (ul. Dworcowa)",11241
47258_46458,9,8959_439,"Łódź Fabryczna",11242
47001_32904,3,8918_434,"Łowicz Główny",11243
2100020_2100008,3,3121_323,"Łowicz Główny - przy stacji PKP (ul. Dworcowa)",11243
47001_32904,3,8920_435,"Łowicz Główny",11245
2100020_2100008,3,3124_324,"Łowicz Główny - przy stacji PKP (ul. Dworcowa)",11245
47001_32904,4,8966_441,"Łowicz Główny",11245
2100020_2100008,4,8334_332,"Łowicz Główny - przy stacji PKP (ul. Dworcowa)",11245
32904_47001,3,8922_436,Skierniewice,11246
2100008_2100020,3,1670_320,"Skierniewice - przy stacji PKP (ul. Dworcowa)",11246
32904_47001,4,8967_442,Skierniewice,11246
2100008_2100020,4,8323_329,"Skierniewice - przy stacji PKP (ul. Dworcowa)",11246
32904_47001,3,8924_437,Skierniewice,11248
2100008_2100020,3,1675_321,"Skierniewice - przy stacji PKP (ul. Dworcowa)",11248
32904_47001,4,8972_443,Skierniewice,11248
2100008_2100020,4,8328_330,"Skierniewice - przy stacji PKP (ul. Dworcowa)",11248
32904_47001,3,8926_578,Skierniewice,11250
2100008_2100020,3,1676_322,"Skierniewice - przy stacji PKP (ul. Dworcowa)",11250
32904_47001,4,8974_587,Skierniewice,11250
2100008_2100020,4,8329_523,"Skierniewice - przy stacji PKP (ul. Dworcowa)",11250
47001_32201,3,8928_579,Kutno,11253
2100020_2100001,3,3123_520,"Kutno - przy stacji PKP (ul. 3 Maja)",11253
47001_32904,4,8969_586,"Łowicz Główny",11253
2100020_2100008,4,8336_525,"Łowicz Główny - przy stacji PKP (ul. Dworcowa)",11253
47001_32201,4,8977_588,Kutno,11255
2100020_2100001,4,8335_524,"Kutno - przy stacji PKP (ul. 3 Maja)",11255
2300008_2400004,3,3131_522,"Łódź Służbowa -dw. Łódź Widzew",11257
46862_46409,10,3126_521,"Łódź Widzew",11257/11256
46862_46409,11,8943_581,"Łódź Widzew",11257/11256
46409_19489,12,8987_593,Sieradz,11400/11401
46409_19489,13,8988_594,Sieradz,11400/11401
46409_19489,4,8989_595,Sieradz,11400/11401
46409_19489,5,8557_526,Sieradz,11400/11401
2700001_2700005,12,1650_502,"Sieradz - przy stacji PKP (ul. Kolejowa)",11401
2700001_2700005,14,1651_503,"Sieradz - przy stacji PKP (ul. Kolejowa)",11403
46706_19489,15,8993_599,Sieradz,11403
46458_19489,14,8990_596,Sieradz,11403/11402
46458_19489,16,8991_597,Sieradz,11403/11402
46458_19489,17,8992_598,Sieradz,11403/11402
46458_19489,18,8558_527,Sieradz,11403/11402
46409_19489,4,8996_602,Sieradz,11404/11405
46409_19489,5,8559_528,Sieradz,11404/11405
2700001_2700005,12,1652_504,"Sieradz - przy stacji PKP (ul. Kolejowa)",11405
46409_19489,12,8994_600,Sieradz,11405/11404
46409_19489,13,8995_601,Sieradz,11405/11404
46409_19489,1,8997_603,Sieradz,11407/11406
46409_19489,17,8998_604,Sieradz,11407/11406
46409_19489,15,8999_605,Sieradz,11407/11406
46409_19489,18,8560_529,Sieradz,11407/11406
46409_19489,12,9000_606,Sieradz,11408/11409
46409_19489,13,9001_607,Sieradz,11408/11409
46409_19489,4,9002_608,Sieradz,11408/11409
