from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type
48009,48009,91758168_0,91758168_1,1
19612,19612,91758233_0,91758233_1,1
65524,65524,91758233_1,91758233_2,1
65409,65409,91758234_0,91758234_1,1
65300,65300,91758234_1,91758234_2,1
19612,19612,91758235_0,91758235_1,1
65524,65524,91758235_1,91758235_2,1
19612,19612,91758237_0,91758237_1,1
65524,65524,91758237_1,91758237_2,1
65409,65409,91758238_0,91758238_1,1
65300,65300,91758238_1,91758238_2,1
19612,19612,91758239_0,91758239_1,1
65524,65524,91758239_1,91758239_2,1
19612,19612,91501905_0,91501905_1,1
65524,65524,91501905_1,91501905_2,1
65409,65409,91758242_0,91758242_1,1
65524,65524,91758242_1,91758242_2,1
65409,65409,91758241_0,91758241_1,1
65524,65524,91758241_1,91758241_2,1
65409,65409,91501906_0,91501906_1,1
65524,65524,91501906_1,91501906_2,1
65409,65409,91758244_0,91758244_1,1
65300,65300,91758244_1,91758244_2,1
19612,19612,91758245_0,91758245_1,1
65524,65524,91758245_1,91758245_2,1
19612,19612,91758246_0,91758246_1,1
65524,65524,91758246_1,91758246_2,1
65409,65409,91758248_0,91758248_1,1
65524,65524,91758248_1,91758248_2,1
65409,65409,91758249_0,91758249_1,1
65524,65524,91758249_1,91758249_2,1
65409,65409,91758252_0,91758252_1,1
65524,65524,91758252_1,91758252_2,1
65409,65409,91758254_0,91758254_1,1
65524,65524,91758254_1,91758254_2,1
65409,65409,91501907_0,91501907_1,1
65524,65524,91501907_1,91501907_2,1
65409,65409,91761910_0,91761910_1,1
65524,65524,91761910_1,91761910_2,1
65409,65409,91761911_0,91761911_1,1
65524,65524,91761911_1,91761911_2,1
65409,65409,91761914_0,91761914_1,1
65524,65524,91761914_1,91761914_2,1
65409,65409,91761915_0,91761915_1,1
65524,65524,91761915_1,91761915_2,1
65409,65409,91502825_0,91502825_1,1
65524,65524,91502825_1,91502825_2,1
65409,65409,91761917_0,91761917_1,1
65524,65524,91761917_1,91761917_2,1
65409,65409,91761918_0,91761918_1,1
65524,65524,91761918_1,91761918_2,1
65409,65409,91502826_0,91502826_1,1
