route_id,trip_id,service_id,trip_headsign,trip_short_name
4,91757696,91757696,Warszawa Wschodnia,10130
4,91757697,91757697,Warszawa Wschodnia,10130
4,91757698,91757698,Warszawa Wschodnia,10132 Mały Powstaniec
4,91757699,91757699,Warszawa Wschodnia,10132 Mały Powstaniec
4,91757700,91757700,Warszawa Wschodnia,10134
4,91757701,91757701,Warszawa Wschodnia,10134
4,91757702,91757702,Warszawa Centralna,10136
4,91757703,91757703,Warszawa Centralna,10136
4,91757704,91757704,Warszawa Główna,10138
4,91757705,91757705,Warszawa Główna,10138
4,91757706,91757706,Warszawa Wschodnia,10140 Pietryna
4,91757707,91757707,Warszawa Wschodnia,10140 Pietryna
4,91757708,91757708,Warszawa Wschodnia,10142
4,91757709,91757709,Warszawa Wschodnia,10142
4,91757710,91757710,Warszawa Wschodnia,10144
4,91757711,91757711,Warszawa Wschodnia,10144
4,91757712,91757712,Warszawa Wschodnia,10144
4,91757863,91757863,Łódź Fabryczna,11050
4,91757864,91757864,Łódź Fabryczna,11050
4,91757865,91757865,Łódź Fabryczna,11124 Mały Powstaniec
4,91757866,91757866,Łódź Fabryczna,11124 Mały Powstaniec
4,91757867,91757867,Łódź Fabryczna,11126
4,91757868,91757868,Łódź Fabryczna,11126
4,91757869,91757869,Łódź Fabryczna,11128
4,91757870,91757870,Łódź Fabryczna,11128
4,91757871,91757871,Łódź Kaliska,11130
4,91757872,91757872,Łódź Kaliska,11130
4,91757873,91757873,Łódź Kaliska,11132 Pietryna
4,91757874,91757874,Łódź Kaliska,11132 Pietryna
4,91757875,91757875,Łódź Kaliska,11134
4,91757876,91757876,Łódź Kaliska,11134
4,91757977,91757977,Poznań Główny,17502 Prosna
4,91757978,91757978,Poznań Główny,17502 Prosna
4,91501818,91501818,Poznań Główny,17502 Prosna
4,91757985,91757985,Poznań Główny,17510 Lutynia
4,91757986,91757986,Poznań Główny,17510 Lutynia
4,91757987,91757987,Poznań Główny,17510 Lutynia
4,91501822,91501822,Poznań Główny,17510 Lutynia
4,91757988,91757988,Ostrów Wielkopolski,17512
4,91757989,91757989,Ostrów Wielkopolski,17512
4,91760597,91760597,Warszawa Wschodnia,71200
4,91760598,91760598,Warszawa Wschodnia,71200
4,91760599,91760599,Warszawa Wschodnia,71502 Lutynia
4,91760600,91760600,Warszawa Wschodnia,71502 Lutynia
4,91760601,91760601,Warszawa Wschodnia,71502 Lutynia
4,91502500,91502500,Warszawa Wschodnia,71502 Lutynia
4,91760602,91760602,Warszawa Wschodnia,71504 Prosna
4,91760603,91760603,Warszawa Wschodnia,71504 Prosna
4,91502501,91502501,Warszawa Wschodnia,71504 Prosna
4,91761533,91761533,Łódź Kaliska,99110
4,91761534,91761534,Łódź Kaliska,99110
4,91502730,91502730,Łódź Kaliska,99110
48,91758749,91758749,Kraków Główny,33050 Energylandia
48,91758753,91758753,Zator Park Rozrywki,33107 Energylandia
3,91757635,91757635,Berlin Ostkreuz,5150
3,91501687,91501687,Berlin Lichtenberg,5150
3,91757636,91757636,Kostrzyn,5151
3,91501688,91501688,Kostrzyn,5151
3,91757637,91757637,Berlin Ostkreuz,5152
3,91501689,91501689,Berlin Lichtenberg,5152
3,91757638,91757638,Kostrzyn,5153
3,91501690,91501690,Kostrzyn,5153
3,91757639,91757639,Berlin Ostkreuz,5154
3,91501691,91501691,Berlin Lichtenberg,5154
3,91757640,91757640,Kostrzyn,5155
3,91501692,91501692,Kostrzyn,5155
3,91757641,91757641,Berlin Ostkreuz,5156
3,91501693,91501693,Berlin Lichtenberg,5156
3,91757642,91757642,Kostrzyn,5157
3,91757643,91757643,Kostrzyn,5157
3,91501694,91501694,Kostrzyn,5157
3,91757644,91757644,Berlin Ostkreuz,5158
3,91501695,91501695,Berlin Lichtenberg,5158
3,91757645,91757645,Kostrzyn,5159
3,91501696,91501696,Kostrzyn,5159
3,91757646,91757646,Berlin Ostkreuz,5160
3,91757647,91757647,Berlin Ostkreuz,5160
3,91501697,91501697,Berlin Lichtenberg,5160
3,91757648,91757648,Kostrzyn,5161
3,91757649,91757649,Kostrzyn,5161
3,91501698,91501698,Kostrzyn,5161
3,91757650,91757650,Berlin Ostkreuz,5162
3,91501699,91501699,Berlin Lichtenberg,5162
3,91757651,91757651,Kostrzyn,5163
3,91501700,91501700,Kostrzyn,5163
3,91757652,91757652,Berlin Ostkreuz,5164
3,91757653,91757653,Berlin Ostkreuz,5164
3,91501701,91501701,Berlin Lichtenberg,5164
3,91757654,91757654,Kostrzyn,5165
3,91757655,91757655,Kostrzyn,5165
3,91501702,91501702,Kostrzyn,5165
3,91757656,91757656,Berlin Ostkreuz,5166
3,91501703,91501703,Berlin Lichtenberg,5166
3,91757657,91757657,Kostrzyn,5167
