stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
5256,LĘBORK,54.5336862,17.7504301,0
5413,Godętowo,54.582047,17.8648183,0
5421,Bożepole Wielkie,54.5688718,17.9676743,0
5439,Strzebielino Morskie,54.5628475,18.0297621,0
5447,Luzino,54.5671629,18.1035134,0
5900,GDYNIA GŁÓWNA,54.5201913,18.5313512,1
5918,Gdynia Redłowo,54.4916621,18.5383129,0
5926,Gdynia Wzg. Św. Maksymiliana,54.5079694,18.5355708,1
5934,Gdynia Orłowo,54.4767208,18.5490243,0
5942,SOPOT,54.4400667,18.5624569,1
5959,Sopot Kamienny Potok,54.4577641,18.5535827,0
5967,Sopot Wyścigi,54.430836,18.5653509,1
6031,GDYNIA CHYLONIA,54.545692,18.4636013,0
6049,Gdynia Stocznia,54.5256343,18.5190331,0
6056,Gdynia Grabówek,54.5345733,18.4953412,0
6064,Gdynia Leszczynki,54.5414233,18.4782422,0
6080,Rumia Janowo,54.5589213,18.4057822,0
6098,RUMIA,54.5690623,18.386524,0
6106,REDA,54.5953322,18.3528811,0
6114,Reda Pieleszewo,54.6027329,18.3176731,0
6304,WEJHEROWO,54.6058525,18.2295464,0
6312,Wejherowo Śmiechowo,54.601991,18.2741502,0
6320,Wejherowo Nanice,54.6037179,18.2477653,0
6593,Gościcino Wejherowskie,54.6049258,18.1610334,0
7500,GDAŃSK GŁÓWNY,54.3565922,18.6443487,1
7518,Gdańsk Stocznia,54.3644621,18.6419722,0
7526,Gdańsk Politechnika,54.3742452,18.6271369,1
7534,GDAŃSK WRZESZCZ,54.3821726,18.6050758,1
7559,Gdańsk Zaspa,54.3899056,18.591316,1
7567,Gdańsk Przymorze - Uniwersytet,54.400653,18.5766497,1
7617,Gdańsk Żabianka - AWFiS,54.4206623,18.568536,1
178829,Gdynia Cisowa,54.550083,18.4454575,1
251577,Gdańsk Oliwa,54.4105539,18.5717238,1
254531,Lębork Mosty,54.5507146,17.7938631,0
258458,Gdańsk Śródmieście,54.3473959,18.6440509,1
