route_id,service_id,trip_id,trip_headsign,trip_short_name,shape_id,bikes_allowed
252331,252331,252331,GDAŃSK GŁÓWNY,59698,252331,1
252333,252333,252333,GDAŃSK GŁÓWNY,59702,252333,1
252335,252335,252335,Gdańsk Śródmieście,59706,252335,1
252336,252336,252336,Gdańsk Śródmieście,59708,252336,1
252338,252338,252338,Gdańsk Śródmieście,59710,252338,1
252339,252339,252339,Gdańsk Śródmieście,59712,252339,1
252340,252340,252340,Gdańsk Śródmieście,59714,252340,1
252341,252341,252341,Gdańsk Śródmieście,59620,252341,1
252342,252342,252342,Gdańsk Śródmieście,59716,252342,1
252344,252344,252344,Gdańsk Śródmieście,59718,252344,1
252345,252345,252345,Gdańsk Śródmieście,59720,252345,1
252346,252346,252346,Gdańsk Śródmieście,59722,252346,1
252347,252347,252347,Gdańsk Śródmieście,59724,252347,1
252348,252348,252348,Gdańsk Śródmieście,59726,252348,1
252349,252349,252349,Gdańsk Śródmieście,59728,252349,1
252350,252350,252350,Gdańsk Śródmieście,59730,252350,1
252351,252351,252351,Gdańsk Śródmieście,59732,252351,1
252353,252353,252353,Gdańsk Śródmieście,59734,252353,1
252354,252354,252354,Gdańsk Śródmieście,59736,252354,1
252355,252355,252355,Gdańsk Śródmieście,59738,252355,1
252356,252356,252356,Gdańsk Śródmieście,59740,252356,1
252357,252357,252357,Gdańsk Śródmieście,59742,252357,1
252358,252358,252358,Gdańsk Śródmieście,59744,252358,1
252359,252359,252359,Gdańsk Śródmieście,59746,252359,1
252360,252360,252360,Gdańsk Śródmieście,59748,252360,1
252361,252361,252361,Gdańsk Śródmieście,59750,252361,1
252362,252362,252362,Gdańsk Śródmieście,59752,252362,1
252363,252363,252363,Gdańsk Śródmieście,59754,252363,1
252364,252364,252364,Gdańsk Śródmieście,59756,252364,1
252365,252365,252365,Gdańsk Śródmieście,59758,252365,1
252366,252366,252366,Gdańsk Śródmieście,59760,252366,1
252368,252368,252368,Gdańsk Śródmieście,59762,252368,1
252370,252370,252370,Gdańsk Śródmieście,59764,252370,1
252371,252371,252371,Gdańsk Śródmieście,59766,252371,1
252372,252372,252372,Gdańsk Śródmieście,59768,252372,1
252374,252374,252374,Gdańsk Śródmieście,59770,252374,1
252375,252375,252375,Gdańsk Śródmieście,59774,252375,1
252377,252377,252377,Gdańsk Śródmieście,59776,252377,1
252379,252379,252379,Gdańsk Śródmieście,59778,252379,1
252380,252380,252380,Gdańsk Śródmieście,59780,252380,1
252381,252381,252381,Gdańsk Śródmieście,59782,252381,1
252383,252383,252383,Gdańsk Śródmieście,59788,252383,1
252384,252384,252384,Gdańsk Śródmieście,59790,252384,1
252385,252385,252385,Gdańsk Śródmieście,59792,252385,1
252386,252386,252386,Gdańsk Śródmieście,59794,252386,1
252387,252387,252387,Gdańsk Śródmieście,59796,252387,1
252388,252388,252388,Gdańsk Śródmieście,59798,252388,1
252389,252389,252389,Gdańsk Śródmieście,59690,252389,1
252390,252390,252390,Gdańsk Śródmieście,59692,252390,1
252391,252391,252391,Gdańsk Śródmieście,59694,252391,1
252392,252392,252392,Gdańsk Śródmieście,59696,252392,1
252394,252394,252394,WEJHEROWO,95703,252394,1
252396,252396,252396,WEJHEROWO,95707,252396,1
252397,252397,252397,WEJHEROWO,95709,252397,1
252398,252398,252398,WEJHEROWO,95711,252398,1
252399,252399,252399,WEJHEROWO,95713,252399,1
252400,252400,252400,WEJHEROWO,95715,252400,1
252401,252401,252401,WEJHEROWO,95717,252401,1
252402,252402,252402,WEJHEROWO,95719,252402,1
252403,252403,252403,WEJHEROWO,95721,252403,1
252404,252404,252404,WEJHEROWO,95723,252404,1
252405,252405,252405,WEJHEROWO,95725,252405,1
252406,252406,252406,WEJHEROWO,95727,252406,1
252407,252407,252407,WEJHEROWO,95729,252407,1
252408,252408,252408,WEJHEROWO,95731,252408,1
